x,y,z
415.4428,-935.5957,503.23795
413.35992,-936.07227,502.90573
411.27704,-936.5488,502.57352
408.38922,-926.2541,505.9121
410.4721,-925.7776,506.24432
412.55496,-925.301,506.57654
414.63785,-924.82446,506.90875
416.72073,-924.34796,507.24097
418.80362,-923.8714,507.57318
420.88647,-923.39484,507.9054
422.96936,-922.91833,508.2376
425.05225,-922.4418,508.56982
427.13513,-921.9652,508.90207
429.218,-921.4887,509.23428
431.30087,-921.01215,509.5665
433.38376,-920.5356,509.8987
435.46664,-920.0591,510.23093
437.5495,-919.5825,510.56314
439.6324,-919.10596,510.89536
441.71527,-918.6294,511.22757
443.79816,-918.1529,511.55978
445.881,-917.67633,511.892
447.9639,-917.19977,512.22424
445.07608,-906.9051,515.5628
442.9932,-907.38165,515.2306
440.9103,-907.8582,514.8984
438.82742,-908.3347,514.56616
436.74457,-908.8113,514.23395
434.66168,-909.28784,513.90173
432.5788,-909.76434,513.5695
430.4959,-910.2409,513.2373
428.41306,-910.71747,512.9051
426.33017,-911.194,512.5729
424.24728,-911.67053,512.24066
422.1644,-912.1471,511.90845
420.08154,-912.6236,511.57623
417.99866,-913.10016,511.24402
415.91577,-913.5767,510.9118
413.8329,-914.0532,510.5796
411.75003,-914.5298,510.24738
409.66714,-915.00635,509.91513
407.58426,-915.48285,509.58292
405.50137,-915.9594,509.2507
402.61356,-905.66473,512.5893
404.69644,-905.1882,512.9215
406.7793,-904.7116,513.2537
408.86218,-904.2351,513.58594
410.94507,-903.75854,513.91815
413.02795,-903.282,514.25037
415.1108,-902.8055,514.5826
417.1937,-902.3289,514.91486
419.27658,-901.85236,515.2471
421.35947,-901.37585,515.5793
423.44232,-900.8993,515.9115
425.5252,-900.4227,516.2437
427.6081,-899.9462,516.5759
429.69098,-899.46967,516.90814
431.77383,-898.9931,517.24036
433.85672,-898.51654,517.5726
435.9396,-898.04004,517.9048
438.02246,-897.5635,518.237
440.10535,-897.0869,518.5692
442.18823,-896.6104,518.9014
439.3004,-886.3157,522.24
437.21753,-886.79224,521.9078
435.13464,-887.2688,521.57556
433.05176,-887.74536,521.24335
430.9689,-888.22186,520.91113
428.88602,-888.6984,520.5789
426.80313,-889.175,520.2467
424.72025,-889.6515,519.9145
422.6374,-890.12805,519.5823
420.5545,-890.6046,519.25006
418.47162,-891.0811,518.91785
416.38873,-891.5577,518.58563
414.30588,-892.03424,518.2534
412.223,-892.51074,517.9212
410.1401,-892.9873,517.589
408.05722,-893.46387,517.2568
405.97437,-893.94037,516.92456
403.89148,-894.41693,516.59235
401.8086,-894.8935,516.26013
399.7257,-895.37,515.9279
396.8379,-885.0753,519.26654
398.92078,-884.59875,519.59875
401.00363,-884.12225,519.93097
403.08652,-883.6457,520.2632
405.1694,-883.1691,520.5954
407.2523,-882.6926,520.9276
409.33514,-882.21606,521.2598
411.41803,-881.7395,521.59204
413.50092,-881.263,521.92426
415.5838,-880.78644,522.2565
417.66666,-880.3099,522.5887
419.74954,-879.8334,522.9209
421.83243,-879.3568,523.2531
423.9153,-878.88025,523.5853
425.99817,-878.40375,523.91754
428.08105,-877.9272,524.24976
430.16394,-877.4506,524.582
432.24683,-876.9741,524.9142
434.32968,-876.49756,525.2464
436.41257,-876.021,525.5786
433.52475,-865.7263,528.91724
431.44186,-866.2029,528.585
429.35898,-866.6794,528.2528
427.2761,-867.15594,527.9206
425.19324,-867.6325,527.5884
423.11035,-868.109,527.25616
421.02747,-868.5856,526.92395
418.94458,-869.06213,526.5917
416.86172,-869.53864,526.25946
414.77884,-870.0152,525.92725
412.69595,-870.49176,525.59503
410.61307,-870.96826,525.2628
408.5302,-871.4448,524.9306
406.44733,-871.9214,524.5984
404.36444,-872.3979,524.2662
402.28156,-872.87445,523.93396
400.1987,-873.351,523.60175
398.1158,-873.8275,523.26953
396.03293,-874.3041,522.9373
393.95004,-874.78064,522.6051
391.06223,-864.48596,525.9437
393.14508,-864.0094,526.27594
395.22797,-863.53284,526.60815
397.31085,-863.0563,526.94037
399.39374,-862.5798,527.2726
401.47662,-862.1032,527.6048
403.55948,-861.6267,527.937
405.64236,-861.15015,528.2692
407.72525,-860.6736,528.60144
